Domain,Category
coinbase-login-apk.typedream.app,Coinbase phishing
coinbase-login-wallet.typedream.app,Coinbase phishing
coinbasse-chrome-extension.typedream.app,Coinbase phishing
coinbase-wallet-crypto.typedream.app,Coinbase phishing
support-coinbasext-faq.typedream.app,Coinbase phishing
help-coinbasext-cdn.typedream.app,Coinbase phishing
secure-coinbase-com-ext.free.site.pro,Coinbase phishing
coinbase-extennsion.typedream.app,Coinbase phishing
official-site-coinbase-pro.typedream.app,Coinbase phishing
live-ledgerapps.gitbook.io,Ledger phishing
ldger-live-download.github.io,Ledger phishing
strt--ledger--com.webflow.io,Ledger phishing
logii-ledgarlive--us.webflow.io,Ledger phishing
support-hub-ladger-port.webflow.io,Ledger phishing
ledgllivv-deesktop.webflow.io,Ledger phishing
help-support-live---ledger.webflow.io,Ledger phishing
logon-ledarlive--sso.webflow.io,Ledger phishing
help-live--ledgre.webflow.io,Ledger phishing
help-appe-ledgre.webflow.io,Ledger phishing
m-start---ledgre---cdn.webflow.io,Ledger phishing
welltai--live--ledgre.webflow.io,Ledger phishing
walllettrezwr.webflow.io,Trezor phishing
doc-secure-trazor-sso-auth.webflow.io,Trezor phishing
doc-en-start-trazor.free.site.pro,Trezor phishing
learn-suite-tiirezor.webflow.io,Trezor phishing
faq-trezo-bridge-cdn.webflow.io,Trezor phishing
learn-bridege-trzor.webflow.io,Trezor phishing
trejjerswellits.webflow.io,Trezor phishing
exodusverification.com,Exodus phishing
bafybeifpoz64gobkaef5mcqaynfve4movuq4e3uk747xjnnvx7wx5xyc6y.ipfs.dweb.link,IPFS phishing
bafkreihwxjc5smgeg7lpfwlkwepv23vqeyz3faomgcjhirplsepb7vct44.ipfs.dweb.link,IPFS phishing
bafkreicwomdmyuwajjmqo4frrpp26naw6u7y36sl3zb62aus57xlpk3efe.ipfs.dweb.link,IPFS phishing
